LATITUDE,LONGITUDE,MUNICIPIO
-9.73,-38.12,SANTA BRIGIDA
-16.27,-39.02,SANTA CRUZ CABRALIA
-14.96,-39.81,SANTA CRUZ DA VITORIA
-13.29,-39.81,SANTA INES
-15.42,-39.33,SANTA LUZIA
-13.39,-44.19,SANTA MARIA DA VITORIA
-11,-44.51,SANTA RITA DE CASSIA
-12.77,-39.52,SANTA TERESINHA
-11.25,-39.37,SANTALUZ
-12.98,-44.05,SANTANA
-12.01,-38.86,SANTANOPOLIS
-12.54,-38.71,SANTO AMARO
-12.96,-39.26,SANTO ANTONIO DE JESUS
-12.43,-39.25,SANTO ESTEVAO
-12.36,-44.97,SAO DESIDERIO
-11.5,-39.54,SAO DOMINGOS
-12.84,-39.08,SAO FELIPE
-12.6,-38.97,SAO FELIX
-13.4,-44.19,SAO FELIX DO CORIBE
-12.62,-38.68,SAO FRANCISCO DO CONDE
-11.22,-41.91,SAO GABRIEL
-12.43,-38.96,SAO GONCALO DOS CAMPOS
-15.08,-39.33,SAO JOSE DA VITORIA
-11.41,-39.86,SAO JOSE DO JACUIPE
-13.04,-39.45,SAO MIGUEL DAS MATAS
-12.51,-38.49,SAO SEBASTIAO DO PASSE
-12.72,-39.18,SAPEACU
-11.6,-38.6,SATIRO DIAS
-12.73,-38.76,SAUBARA
-10.94,-40.41,SAUDE
-12.41,-41.77,SEABRA
-14.57,-42.94,SEBASTIAO LARANJEIRAS
-10.46,-40.19,SENHOR DO BONFIM
-9.74,-41.88,SENTO SE
-13.57,-43.59,SERRA DO RAMALHO
-12.76,-43.95,SERRA DOURADA
-12.16,-39.33,SERRA PRETA
-11.66,-39,SERRINHA
-11.41,-40.3,SERROLANDIA
-12.78,-38.4,SIMOES FILHO
-13.08,-43.46,SITIO DO MATO
-10.35,-38.21,SITIO DO QUINTO
-9.45,-40.82,SOBRADINHO
-12.08,-41.63,SOUTO SOARES
-12.7,-44,TABOCAS DO BREJO VELHO
-14.02,-41.24,TANHACU
-13.54,-42.49,TANQUE NOVO
-11.97,-39.1,TANQUINHO
-13.53,-39.09,TAPEROA
-11.84,-40.79,TAPIRAMUTA
-17.53,-39.74,TEIXEIRA DE FREITAS
-12.29,-38.62,TEODORO SAMPAIO
-11.48,-38.99,TEOFILANDIA
-13.6,-39.49,TEOLANDIA
-12.39,-38.62,TERRA NOVA
-14.97,-41.41,TREMEDAL
-10.96,-38.78,TUCANO
-9.84,-39.48,UAUA
-13.26,-39.66,UBAIRA
-14.31,-39.32,UBAITABA
-14.21,-39.52,UBATA
-11.33,-42.13,UIBAI
-10.73,-41.32,UMBURANAS
-15.29,-39.07,UNA
-14.77,-42.65,URANDI
-14.59,-39.28,URUCUCA
-12.08,-41.09,UTINGA
-13.37,-39.07,VALENCA
-11.41,-39.46,VALENTE
-11.6,-40.13,VARZEA DA ROCA
-11.52,-40.32,VARZEA DO POCO
-11.25,-40.94,VARZEA NOVA
-12.97,-39.39,VARZEDO
-12.96,-38.6,VERA CRUZ
-17.22,-40.09,VEREDA
-14.86,-40.83,VITORIA DA CONQUISTA
-12.28,-41.16,WAGNER
-12.12,-43.88,WANDERLEY
-13.68,-39.47,WENCESLAU GUIMARAES
-10.82,-42.73,XIQUE-XIQUE
-7.35,-39.04,ABAIARA
-4.22,-38.7,ACARAPE
-2.88,-40.12,ACARAU
-6.09,-39.45,ACOPIARA
-6.57,-40.12,AIUABA
-3.58,-40.54,ALCANTARAS
-7,-39.74,ALTANEIRA
-5.52,-38.27,ALTO SANTO
-3.49,-39.57,AMONTADA
-6.77,-39.98,ANTONINA DO NORTE
-3.94,-39.43,APUIARES
-3.9,-38.39,AQUIRAZ
-4.56,-37.77,ARACATI
-4.37,-38.81,ARACOIABA
-4.75,-40.83,ARARENDA
-7.21,-40.04,ARARIPE
-4.41,-39.04,ARATUBA
-6.32,-40.16,ARNEIROZ
-6.87,-39.87,ASSARE
-6.94,-38.96,AURORA
-6.73,-38.71,BAIXIO
-5.31,-38.92,BANABUIU
-7.3,-39.3,BARBALHA
-4.28,-38.64,BARREIRA
-7.17,-38.78,BARRO
-3.01,-41.13,BARROQUINHA
-4.32,-38.88,BATURITE
-4.18,-38.13,BEBERIBE
-3.05,-40.16,BELA CRUZ
-5.12,-39.73,BOA VIAGEM
-7.49,-38.98,BREJO SANTO
-2.9,-40.84,CAMOCIM
-7.07,-40.37,CAMPOS SALES
-4.35,-39.31,CANINDE
-4.47,-38.9,CAPISTRANO
-4.23,-39.19,CARIDADE
-3.95,-40.47,CARIRE
-7.04,-39.28,CARIRIACU
-6.53,-39.49,CARIUS
-4.16,-40.94,CARNAUBAL
-4.13,-38.23,CASCAVEL
-6.13,-39.87,CATARINA
-4.64,-40.2,CATUNDA
-3.73,-38.65,CAUCAIA
-6.6,-39.06,CEDRO
-3.03,-41.24,CHAVAL
-4.84,-39.14,CHORO
-4.3,-38.49,CHOROZINHO
-3.53,-40.65,COREAU
-5.17,-40.67,CRATEUS
-7.23,-39.4,CRATO
-4.4,-40.91,CROATA
-2.91,-40.17,CRUZ
-5.91,-39.26,DEPUTADO IRAPUAN PINHEIRO
-6.03,-38.34,ERERE
-3.89,-38.45,EUSEBIO
-6.93,-39.56,FARIAS BRITO
-3.79,-40.26,FORQUILHA
-3.71,-38.54,FORTALEZA
-4.45,-37.79,FORTIM
-3.76,-40.81,FRECHEIRINHA
-4.05,-39.45,GENERAL SAMPAIO
-4.04,-40.75,GRACA
-3.12,-40.82,GRANJA
-6.88,-39.21,GRANJEIRO
-3.91,-40.38,GROAIRAS
-4.04,-38.63,GUAIUBA
-4.16,-40.74,GUARACIABA DO NORTE
-4.26,-38.93,GUARAMIRANGA
-4.4,-40.43,HIDROLANDIA
-4.09,-38.49,HORIZONTE
-4.8,-38.75,IBARETAMA
-3.92,-40.88,IBIAPINA
-4.97,-38.63,IBICUITINGA
-4.71,-37.35,ICAPUI
-6.4,-38.86,ICO
-6.35,-39.29,IGUATU
-5.39,-40.3,INDEPENDENCIA
-4.9,-40.75,IPAPORANGA
-6.79,-38.71,IPAUMIRIM
-4.32,-40.71,IPU
-4.54,-40.71,IPUEIRAS
-5.81,-38.3,IRACEMA
